epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0945,1.03669,1.99138,0.91,1.17136,0.85591,0.71148,0.76026,0.56653,0.86151,0.70752,0.74106,0.48897,1.1863,2.36293,1.4283,1.29176,0.000649123,0.000649123,0.000649123
2,38.1808,1.0712,1.96845,0.92703,1.15726,0.81308,0.73816,0.74744,0.54414,0.81497,0.73001,0.73252,0.45629,1.39716,2.43731,1.78428,1.46986,0.00128974,0.00128974,0.00128974
3,59.0822,1.12161,2.04405,0.99523,1.20116,0.83389,0.64323,0.71678,0.49986,0.82532,0.62674,0.68616,0.42125,1.51368,3.19827,1.83326,1.67462,0.00190395,0.00190395,0.00190395
4,81.3736,1.137,2.05803,1.02859,1.20457,0.82567,0.719,0.75599,0.52065,0.84988,0.70474,0.7333,0.44832,1.4487,2.69523,1.43195,1.63342,0.0018812,0.0018812,0.0018812
5,101.864,1.14243,2.09865,1.05707,1.22114,0.83623,0.71118,0.75884,0.5269,0.85778,0.68043,0.72804,0.43093,1.40053,2.65714,1.62248,1.55326,0.0018416,0.0018416,0.0018416
6,127.674,1.13918,2.04967,1.01569,1.21884,0.72631,0.4429,0.5107,0.33257,0.73454,0.42618,0.48183,0.27255,1.59574,3.41708,2.43795,1.78342,0.001802,0.001802,0.001802
7,155.892,1.11113,2.01464,1.00102,1.20132,0.85157,0.7117,0.75496,0.54239,0.86815,0.70609,0.73903,0.45118,1.32462,2.68267,1.67737,1.45673,0.0017624,0.0017624,0.0017624
8,183.452,1.08933,2.03112,0.98086,1.18858,0.86775,0.71279,0.76573,0.51862,0.85367,0.7117,0.73738,0.43161,1.41554,2.6337,1.50504,1.56294,0.0017228,0.0017228,0.0017228
9,204.705,1.12204,2.02656,0.98358,1.20763,0.80835,0.72254,0.74673,0.50325,0.81129,0.7185,0.73286,0.43858,1.36544,2.69336,1.62367,1.52565,0.0016832,0.0016832,0.0016832
10,229.305,1.07947,1.93714,0.94841,1.17295,0.84257,0.68802,0.7418,0.52634,0.85476,0.67214,0.71011,0.43507,1.32092,2.45662,1.57224,1.4696,0.0016436,0.0016436,0.0016436
11,247.824,1.07463,1.95191,0.94243,1.15966,0.85204,0.67131,0.74664,0.53374,0.84864,0.67131,0.73429,0.44259,1.23503,2.40408,1.57093,1.38987,0.001604,0.001604,0.001604
12,268.289,1.0548,1.92508,0.9168,1.15977,0.86581,0.6727,0.73263,0.51896,0.86142,0.66713,0.71014,0.44843,1.30903,2.56578,1.49842,1.43761,0.0015644,0.0015644,0.0015644
13,287.983,1.00717,1.85329,0.87582,1.13614,0.82406,0.69801,0.7172,0.51283,0.83008,0.6922,0.70099,0.41646,1.28704,2.52027,1.79303,1.42054,0.0015248,0.0015248,0.0015248
14,309.396,1.07175,1.9643,0.94112,1.17383,0.77078,0.65097,0.6697,0.46136,0.77041,0.64624,0.64965,0.39844,1.52135,2.73276,2.02151,1.63353,0.0014852,0.0014852,0.0014852
15,333.022,1.0605,1.99089,0.93623,1.16502,0.83383,0.73816,0.7719,0.55231,0.83306,0.73538,0.75437,0.47013,1.25317,2.42987,1.43109,1.36786,0.0014456,0.0014456,0.0014456
16,351.163,1.02061,1.86879,0.88698,1.13708,0.84493,0.73677,0.7468,0.52542,0.84334,0.73538,0.72886,0.44517,1.26734,2.43714,1.33789,1.38411,0.001406,0.001406,0.001406
17,369.307,1.00179,1.87219,0.87727,1.13451,0.87605,0.72563,0.77846,0.55544,0.86317,0.71866,0.75527,0.45974,1.25685,2.39965,1.34699,1.34651,0.0013664,0.0013664,0.0013664
